접수년도,접수월,접수요일,동물종류,총건수,입양건수,입양률
2019,6,Monday,기타,109,19,17.43
2019,6,Monday,기타축종,55,32,58.18
2019,6,Saturday,개,694,226,32.56
2019,6,Saturday,고양이,458,135,29.48
2019,6,Saturday,기타,55,18,32.73
2019,6,Saturday,기타축종,8,5,62.5
2019,6,Sunday,개,576,197,34.2
2019,6,Sunday,고양이,259,58,22.39
2019,6,Sunday,기타,53,16,30.19
2019,6,Sunday,기타축종,8,3,37.5
2019,6,Thursday,개,1066,291,27.3
2019,6,Thursday,고양이,498,133,26.71
2019,6,Thursday,기타,78,29,37.18
2019,6,Thursday,기타축종,14,10,71.43
2019,6,Tuesday,개,1272,340,26.73
2019,6,Tuesday,고양이,629,197,31.32
2019,6,Tuesday,기타,62,8,12.9
2019,6,Tuesday,기타축종,23,11,47.83
2019,6,Wednesday,개,1139,330,28.97
2019,6,Wednesday,고양이,566,178,31.45
2019,6,Wednesday,기타,60,7,11.67
2019,6,Wednesday,기타축종,13,9,69.23
2019,7,Friday,개,1202,311,25.87
2019,7,Friday,고양이,520,140,26.92
2019,7,Friday,기타,79,12,15.19
2019,7,Friday,기타축종,20,11,55.0
2019,7,Monday,개,2460,636,25.85
2019,7,Monday,고양이,901,229,25.42
2019,7,Monday,기타,128,27,21.09
2019,7,Monday,기타축종,43,30,69.77
2019,7,Saturday,개,623,192,30.82
2019,7,Saturday,고양이,321,80,24.92
2019,7,Saturday,기타,40,11,27.5
2019,7,Saturday,기타축종,12,6,50.0
2019,7,Sunday,개,529,153,28.92
2019,7,Sunday,고양이,217,47,21.66
2019,7,Sunday,기타,51,14,27.45
2019,7,Sunday,기타축종,9,8,88.89
2019,7,Thursday,개,1358,383,28.2
2019,7,Thursday,고양이,561,148,26.38
2019,7,Thursday,기타,58,11,18.97
2019,7,Thursday,기타축종,18,10,55.56
2019,7,Tuesday,개,1986,594,29.91
2019,7,Tuesday,고양이,821,211,25.7
2019,7,Tuesday,기타,87,17,19.54
2019,7,Tuesday,기타축종,48,34,70.83
2019,7,Wednesday,개,1679,437,26.03
2019,7,Wednesday,고양이,624,160,25.64
2019,7,Wednesday,기타,90,19,21.11
2019,7,Wednesday,기타축종,30,22,73.33
2019,8,Friday,개,1849,468,25.31
2019,8,Friday,고양이,613,199,32.46
2019,8,Friday,기타,89,14,15.73
2019,8,Friday,기타축종,28,21,75.0
2019,8,Monday,개,1821,484,26.58
2019,8,Monday,고양이,473,153,32.35
2019,8,Monday,기타,76,16,21.05
2019,8,Monday,기타축종,21,11,52.38
2019,8,Saturday,개,930,239,25.7
2019,8,Saturday,고양이,330,95,28.79
2019,8,Saturday,기타,58,16,27.59
2019,8,Saturday,기타축종,14,6,42.86
2019,8,Sunday,개,466,126,27.04
2019,8,Sunday,고양이,165,54,32.73
2019,8,Sunday,기타,26,9,34.62
2019,8,Sunday,기타축종,7,6,85.71
2019,8,Thursday,개,1606,404,25.16
2019,8,Thursday,고양이,432,135,31.25
2019,8,Thursday,기타,81,20,24.69
2019,8,Thursday,기타축종,25,20,80.0
2019,8,Tuesday,개,1443,394,27.3
2019,8,Tuesday,고양이,433,143,33.03
2019,8,Tuesday,기타,87,20,22.99
2019,8,Tuesday,기타축종,16,12,75.0
2019,8,Wednesday,개,1474,400,27.14
2019,8,Wednesday,고양이,411,127,30.9
2019,8,Wednesday,기타,33,9,27.27
2019,8,Wednesday,기타축종,25,15,60.0
2019,9,Friday,개,1185,309,26.08
2019,9,Friday,고양이,417,117,28.06
2019,9,Friday,기타,52,12,23.08
2019,9,Friday,기타축종,9,5,55.56
2019,9,Monday,개,2449,652,26.62
2019,9,Monday,고양이,829,276,33.29
2019,9,Monday,기타,108,39,36.11
2019,9,Monday,기타축종,29,20,68.97
2019,9,Saturday,개,575,151,26.26
2019,9,Saturday,고양이,269,95,35.32
2019,9,Saturday,기타,43,5,11.63
2019,9,Saturday,기타축종,9,5,55.56
2019,9,Sunday,개,574,168,29.27
2019,9,Sunday,고양이,200,49,24.5
2019,9,Sunday,기타,26,6,23.08
2019,9,Sunday,기타축종,9,6,66.67
2019,9,Thursday,개,1282,328,25.59
2019,9,Thursday,고양이,441,128,29.02
2019,9,Thursday,기타,37,7,18.92
2019,9,Thursday,기타축종,14,9,64.29
2019,9,Tuesday,개,1515,382,25.21
2019,9,Tuesday,고양이,553,198,35.8
2019,9,Tuesday,기타,66,19,28.79
2019,9,Tuesday,기타축종,18,11,61.11
2019,9,Wednesday,개,1590,384,24.15
2019,9,Wednesday,고양이,454,124,27.31
2019,9,Wednesday,기타,63,22,34.92
2019,9,Wednesday,기타축종,50,28,56.0
2019,10,Friday,개,1326,346,26.09
2019,10,Friday,고양이,508,177,34.84
2019,10,Friday,기타,73,15,20.55
2019,10,Friday,기타축종,20,16,80.0
2019,10,Monday,개,1759,500,28.43
2019,10,Monday,고양이,536,168,31.34
2019,10,Monday,기타,90,30,33.33
2019,10,Monday,기타축종,34,27,79.41
2019,10,Saturday,개,651,190,29.19
2019,10,Saturday,고양이,310,95,30.65
2019,10,Saturday,기타,38,10,26.32
2019,10,Saturday,기타축종,10,8,80.0
2019,10,Sunday,개,432,101,23.38
2019,10,Sunday,고양이,204,39,19.12
2019,10,Sunday,기타,17,6,35.29
2019,10,Sunday,기타축종,5,4,80.0
2019,10,Thursday,개,1428,417,29.2
2019,10,Thursday,고양이,569,190,33.39
2019,10,Thursday,기타,95,30,31.58
2019,10,Thursday,기타축종,27,19,70.37
2019,10,Tuesday,개,1803,469,26.01
2019,10,Tuesday,고양이,687,224,32.61
2019,10,Tuesday,기타,94,17,18.09
2019,10,Tuesday,기타축종,19,12,63.16
2019,10,Wednesday,개,1314,375,28.54
2019,10,Wednesday,고양이,532,154,28.95
2019,10,Wednesday,기타,72,21,29.17
2019,10,Wednesday,기타축종,11,10,90.91
2019,11,Friday,개,1335,362,27.12
2019,11,Friday,고양이,361,146,40.44
2019,11,Friday,기타,76,15,19.74
2019,11,Friday,기타축종,13,11,84.62
2019,11,Monday,개,1524,454,29.79
2019,11,Monday,고양이,378,172,45.5
2019,11,Monday,기타,75,11,14.67
2019,11,Monday,기타축종,22,15,68.18
2019,11,Saturday,개,650,171,26.31
2019,11,Saturday,고양이,228,79,34.65
2019,11,Saturday,기타,32,6,18.75
2019,11,Saturday,기타축종,6,4,66.67
2019,11,Sunday,개,384,120,31.25
2019,11,Sunday,고양이,100,34,34.0
2019,11,Sunday,기타,15,4,26.67
