품종,동물종류,총건수,입양건수,평균체중,평균나이,입양률
잭 러셀 테리어,개,124,35,6.586290322580646,3.467741935483871,28.23
빠삐용(콘티넨탈 토이 스파니엘),개,122,45,4.34188524590164,4.024590163934426,36.89
아키다,기타,122,36,23.34983606557377,3.3934426229508197,29.51
캐벌리어 킹 찰스 스파니엘,개,120,53,7.892564102564102,3.369747899159664,44.17
동경견,개,105,43,13.812380952380952,2.276190476190476,40.95
콜리,기타,98,35,19.750612244897958,3.2551020408163267,35.71
불 테리어,개,98,29,14.962886597938144,3.3979591836734695,29.59
휘펫,기타,97,39,8.863917525773195,2.3092783505154637,40.21
저먼 포인터,개,90,33,17.48122222222222,2.8222222222222224,36.67
잉글리쉬 포인터,개,82,28,16.429620253164558,2.6341463414634148,34.15
미디엄 푸들,개,80,30,6.80775,3.1,37.5
화이트테리어,개,76,36,6.52054054054054,3.3157894736842106,47.37
미니어쳐 닥스훈트,개,75,24,5.582133333333334,6.12,32.0
아메리칸 코카 스파니엘,개,74,32,8.784324324324324,5.1891891891891895,43.24
올드 잉글리쉬 불독,개,74,29,17.274324324324322,3.77027027027027,39.19
울프독,기타,48,15,24.958333333333332,2.5416666666666665,31.25
페터데일테리어,개,46,14,8.854347826086956,2.217391304347826,30.43
아프간 하운드,개,46,19,21.078260869565216,3.6956521739130435,41.3
그레이트 덴,기타,46,11,38.9804347826087,3.5,23.91
폭스테리어,개,45,12,7.394222222222222,3.577777777777778,26.67
제페니즈칭,기타,44,25,5.142045454545454,3.227272727272727,56.82
보르조이,기타,43,16,25.234186046511628,4.674418604651163,37.21
버니즈 마운틴 독,기타,42,9,27.082926829268295,2.6904761904761907,21.43
바셋 하운드,개,41,12,10.048048780487806,3.097560975609756,29.27
바센지,기타,41,18,6.300000000000001,1.0731707317073171,43.9
미니어쳐 슈나우저,기타,41,10,5.981951219512195,5.902439024390244,24.39
벨지안 셰퍼드 독(그로넨달),개,38,11,23.126315789473683,3.710526315789474,28.95
재패니즈 스피츠,개,38,6,6.61921052631579,4.2105263157894735,15.79
아이리쉬 세터,개,36,11,17.84888888888889,3.388888888888889,30.56
아메리칸 핏불 테리어,개,36,12,18.305555555555557,2.25,33.33
메인쿤,고양이,34,23,4.4925,2.588235294117647,67.65
노리치 테리어,개,33,26,4.187241379310345,0.9696969696969697,78.79
레그돌-라가머핀,고양이,33,23,3.2645454545454546,1.3636363636363635,69.7
시베리안라이카,개,32,12,17.8375,1.65625,37.5
잉글리쉬 코카 스파니엘,개,31,13,9.17741935483871,5.096774193548387,41.94
아메리칸 불독,개,29,11,18.635172413793104,3.793103448275862,37.93
래빗 닥스훈트,개,29,13,4.928275862068965,3.9655172413793105,44.83
아메리칸 아키다,기타,28,6,31.021428571428572,3.5357142857142856,21.43
봄베이,기타,28,19,3.400714285714286,2.4642857142857144,67.86
벨지안 셰퍼드 독,개,27,9,27.17037037037037,3.5925925925925926,33.33
핏불테리어 믹스견,개,26,4,17.107692307692307,2.576923076923077,15.38
오브차카,기타,26,5,43.33846153846154,3.1153846153846154,19.23
노퍽 테리어,개,26,18,2.8153846153846156,0.23076923076923078,69.23
스코티쉬 테리어,개,26,8,8.173076923076923,3.769230769230769,30.77
화이트리트리버,개,25,9,20.996,2.96,36.0
복서,개,24,4,16.258333333333333,2.0,16.67
도고 아르젠티노,기타,23,7,24.882608695652173,2.9565217391304346,30.43
와이마라너,기타,21,7,19.76666666666667,3.7142857142857144,33.33
티베탄 마스티프,개,21,5,39.82857142857143,3.0952380952380953,23.81
세인트 버나드,기타,21,7,33.95238095238095,4.142857142857143,33.33
