동물종류,나이그룹,성별,중성화 여부,시도,총건수,입양건수,평균체중,입양률
개,4-5세,수컷,중성화 X,경상북도,1330,400,12.014424379232505,30.08
개,4-5세,수컷,중성화 X,광주광역시,491,142,10.409653767820775,28.92
개,4-5세,수컷,중성화 X,대구광역시,648,168,11.075925925925926,25.93
개,4-5세,수컷,중성화 X,대전광역시,87,13,11.55232558139535,14.94
개,4-5세,수컷,중성화 X,부산광역시,1359,299,9.989779249448125,22.0
개,4-5세,수컷,중성화 X,서울특별시,1000,240,8.451381381381381,24.0
개,4-5세,수컷,중성화 X,세종특별자치시,57,15,11.485614035087718,26.32
개,4-5세,수컷,중성화 X,울산광역시,568,55,12.925968309859154,9.68
개,4-5세,수컷,중성화 X,인천광역시,949,230,11.610094936708862,24.24
개,4-5세,수컷,중성화 X,전라남도,1504,317,13.384750499001996,21.08
개,4-5세,수컷,중성화 X,전북특별자치도,1312,407,11.458506097560976,31.02
개,4-5세,수컷,중성화 X,제주특별자치도,570,61,16.969244288224957,10.7
개,4-5세,수컷,중성화 X,충청남도,1261,310,12.169148089171975,24.58
개,4-5세,수컷,중성화 X,충청북도,1128,307,12.251418439716312,27.22
개,4-5세,암컷,미상,강원특별자치도,791,147,9.27384030418251,18.58
개,4-5세,암컷,미상,경기도,3337,758,10.232702459508099,22.72
개,4-5세,암컷,미상,경상남도,1287,330,10.361592851592853,25.64
개,4-5세,암컷,미상,경상북도,661,239,8.802541603630862,36.16
개,4-5세,암컷,미상,광주광역시,511,166,9.087240704500978,32.49
개,4-5세,암컷,미상,대구광역시,497,147,8.452837022132798,29.58
개,4-5세,암컷,미상,대전광역시,708,187,8.323305084745762,26.41
개,4-5세,암컷,미상,부산광역시,1128,266,9.134007092198582,23.58
개,4-5세,암컷,미상,서울특별시,994,247,7.498158953722334,24.85
개,4-5세,암컷,미상,세종특별자치시,87,31,11.877701149425286,35.63
개,4-5세,암컷,미상,울산광역시,176,47,10.780397727272726,26.7
개,4-5세,암컷,미상,인천광역시,729,236,8.009012345679013,32.37
개,4-5세,암컷,미상,전라남도,678,189,9.838463810930577,27.88
개,4-5세,암컷,미상,전북특별자치도,294,68,9.576156462585034,23.13
개,4-5세,암컷,미상,제주특별자치도,334,56,13.644444444444446,16.77
개,4-5세,암컷,미상,충청남도,981,299,10.08821833161689,30.48
개,4-5세,암컷,미상,충청북도,706,216,9.465113314447592,30.59
개,4-5세,암컷,중성화 O,강원특별자치도,17,6,5.270588235294118,35.29
개,4-5세,암컷,중성화 O,경기도,119,41,8.88764705882353,34.45
개,4-5세,암컷,중성화 O,경상남도,102,36,9.60343137254902,35.29
개,4-5세,암컷,중성화 O,경상북도,57,22,6.594561403508772,38.6
개,4-5세,암컷,중성화 O,광주광역시,15,2,12.233333333333333,13.33
개,4-5세,암컷,중성화 O,대구광역시,15,2,6.591333333333334,13.33
개,4-5세,암컷,중성화 O,대전광역시,1,0,7.0,0.0
개,4-5세,암컷,중성화 O,부산광역시,15,7,9.620000000000001,46.67
개,4-5세,암컷,중성화 O,서울특별시,24,7,8.140833333333333,29.17
개,4-5세,암컷,중성화 O,세종특별자치시,4,4,4.9,100.0
개,4-5세,암컷,중성화 O,울산광역시,19,8,4.768947368421053,42.11
개,4-5세,암컷,중성화 O,인천광역시,23,3,11.538695652173912,13.04
개,4-5세,암컷,중성화 O,전라남도,18,8,8.743529411764705,44.44
개,4-5세,암컷,중성화 O,전북특별자치도,31,14,6.048387096774194,45.16
개,4-5세,암컷,중성화 O,제주특별자치도,2,1,12.2,50.0
개,4-5세,암컷,중성화 O,충청남도,37,13,10.57891891891892,35.14
개,4-5세,암컷,중성화 O,충청북도,9,1,6.144444444444444,11.11
개,4-5세,암컷,중성화 X,강원특별자치도,984,222,9.40537755102041,22.56
개,4-5세,암컷,중성화 X,경기도,2828,777,11.31449203539823,27.48
개,4-5세,암컷,중성화 X,경상남도,1790,442,9.804600335382895,24.69
개,4-5세,암컷,중성화 X,경상북도,1219,373,10.249375,30.6
개,4-5세,암컷,중성화 X,광주광역시,114,40,8.982456140350877,35.09
개,4-5세,암컷,중성화 X,대구광역시,209,70,8.247177033492823,33.49
개,4-5세,암컷,중성화 X,대전광역시,67,17,6.390909090909091,25.37
개,4-5세,암컷,중성화 X,부산광역시,591,164,7.853620981387478,27.75
