보호소명,시도,시군구,총보호건수,입양건수,자연사건수,안락사건수,반환건수,평균보호기간,개비율,고양이비율,입양률,안락사율,자연사율
순창유기동물보호소,전북특별자치도,순창군,232,120,76,0,23,10.125,98.27586206896551,1.7241379310344827,51.72,0.0,32.76
수성동물병원,경기도,과천시,224,56,53,67,12,10.486607142857142,63.83928571428571,34.375,25.0,29.91,23.66
하남동물보호센터,경기도,하남시,222,145,13,0,44,10.527027027027026,83.78378378378379,13.963963963963963,65.32,0.0,5.86
가정견훈련소,충청북도,증평군,220,43,64,65,44,11.272727272727273,80.9090909090909,17.272727272727273,19.55,29.55,29.09
킴스동물병원,경상북도,울진군,219,92,28,86,6,8.45662100456621,95.4337899543379,4.5662100456621,42.01,39.27,12.79
한국동물구조관리협회,경기도,하남시,211,59,54,82,16,10.815165876777252,81.99052132701422,14.691943127962084,27.96,38.86,25.59
울산동물병원,울산광역시,중구,205,122,69,0,14,10.502439024390243,20.975609756097562,79.02439024390245,59.51,0.0,33.66
박영재동물병원,전북특별자치도,임실군,204,114,66,19,5,15.5,99.50980392156863,0.0,55.88,9.31,32.35
태안 동물보호소,충청남도,태안군,204,119,70,12,2,10.740196078431373,99.50980392156863,0.0,58.33,5.88,34.31
연합동물병원,전북특별자치도,완주군,202,56,38,77,27,10.584158415841584,95.54455445544554,3.4653465346534658,27.72,38.12,18.81
웰케어 동물병원,서울특별시,마포구,194,111,44,4,32,10.65979381443299,24.742268041237114,74.74226804123711,57.22,2.06,22.68
대구시수의사회(삼덕),대구광역시,중구,186,124,54,0,8,10.268817204301076,5.376344086021505,94.6236559139785,66.67,0.0,29.03
화성시민동물보호센터,경기도,화성시,177,23,59,91,1,9.209039548022599,94.91525423728814,3.954802259887006,12.99,51.41,33.33
팜그린동물약품병원,전북특별자치도,진안군,177,77,63,30,7,10.463276836158192,77.40112994350282,18.07909604519774,43.5,16.95,35.59
원동물병원,전북특별자치도,순창군,176,12,83,73,7,10.380681818181818,94.31818181818183,2.272727272727273,6.82,41.48,47.16
제이스동물병원,대구광역시,달성군,176,36,64,76,0,10.801136363636363,84.0909090909091,15.909090909090908,20.45,43.18,36.36
부천시수의사회,경기도,부천시,169,52,26,10,65,10.502958579881657,96.44970414201184,0.0,30.77,5.92,15.38
경동동물병원,인천광역시,연수구,168,84,60,0,19,10.952380952380953,29.761904761904763,64.28571428571429,50.0,0.0,35.71
서초동물사랑센터,서울특별시,서초구,160,110,1,0,47,15.88125,91.875,6.25,68.75,0.0,0.62
무주군,전북특별자치도,무주군,153,62,8,36,47,10.529411764705882,98.69281045751634,0.0,40.52,23.53,5.23
남산동물병원,울산광역시,남구,148,89,34,0,18,10.087837837837839,27.7027027027027,72.2972972972973,60.14,0.0,22.97
진안가축병원,전북특별자치도,진안군,147,80,13,45,8,10.72108843537415,82.31292517006803,17.006802721088434,54.42,30.61,8.84
오수동물병원,전북특별자치도,임실군,142,17,12,107,6,10.528169014084508,97.1830985915493,0.0,11.97,75.35,8.45
21세기동물병원,서울특별시,용산구,137,58,11,0,52,10.700729927007298,62.77372262773723,36.496350364963504,42.34,0.0,8.03
